wavelength	dark	baseline
198.91391	3569.0	3581.0
199.38441409499546	2598.0	2604.0
199.85488980008793	2756.0	2773.0
200.3253371154363	2732.0	2742.0
200.79575604119955	2784.0	2867.0
201.26614657753663	2783.0	2856.0
201.7365087246065	2785.0	2879.0
202.20684248256813	2790.0	2891.0
202.67714785158046	2784.0	2916.0
203.14742483180245	2782.0	2929.0
203.61767342339306	2779.0	2927.0
204.0878936265113	2788.0	2924.0
204.55808544131605	2784.0	2936.0
205.02824886796625	2777.0	2937.0
205.49838390662097	2785.0	2933.0
205.9684905574391	2799.0	2939.0
206.4385688205796	2781.0	2919.0
206.90861869620147	2787.0	2930.0
207.3786401844636	2786.0	2926.0
207.84863328552498	2783.0	2939.0
208.31859799954458	2774.0	2921.0
208.78853432668134	2795.0	2947.0
209.25844226709424	2785.0	2942.0
209.72832182094223	2794.0	2929.0
210.19817298838424	2795.0	2946.0
210.66799576957928	2788.0	2942.0
211.13779016468627	2783.0	2957.0
211.60755617386417	2797.0	2940.0
212.07729379727198	2789.0	2932.0
212.5470030350686	2784.0	2936.0
213.01668388741302	2788.0	2946.0
213.4863363544642	2792.0	2917.0
213.95596043638108	2798.0	2955.0
214.42555613332266	2782.0	2938.0
214.8951234454478	2793.0	2951.0
215.36466237291557	2797.0	2938.0
215.83417291588492	2796.0	2976.0
216.30365507451472	2793.0	2949.0
216.77310884896397	2801.0	2952.0
217.24253423939172	2793.0	2939.0
217.71193124595678	2800.0	2939.0
218.1812998688182	2798.0	2938.0
218.65064010813492	2805.0	2947.0
219.1199519640659	2800.0	2951.0
219.58923543677008	2797.0	2934.0
220.05849052640644	2798.0	2961.0
220.52771723313393	2793.0	2942.0
220.99691555711152	2801.0	2957.0
221.46608549849813	2797.0	2978.0
221.93522705745278	2816.0	2961.0
222.40434023413437	2805.0	2968.0
222.8734250287019	2803.0	2954.0
223.34248144131428	2824.0	2964.0
223.81150947213052	2810.0	2982.0
224.28050912130956	2800.0	2974.0
224.74948038901036	2805.0	2962.0
225.21842327539184	2797.0	2993.0
225.68733778061303	2801.0	2991.0
