wavelength	dark	baseline
198.91391	3509.12	3516.1
199.38441409499546	2577.58	2584.64
199.85488980008793	2738.1	2744.42
200.3253371154363	2705.18	2711.74
200.79575604119955	2734.36	2820.5
201.26614657753663	2733.28	3012.36
201.7365087246065	2739.02	4356.74
202.20684248256813	2737.26	9181.0
202.67714785158046	2735.5	12135.44
203.14742483180245	2735.98	12239.88
203.61767342339306	2733.56	12157.2
204.0878936265113	2735.6	12185.7
204.55808544131605	2731.84	12246.82
205.02824886796625	2731.6	12353.94
205.49838390662097	2730.62	12490.14
205.9684905574391	2734.26	12654.14
206.4385688205796	2730.14	12813.34
206.90861869620147	2731.38	12970.7
207.3786401844636	2730.78	13132.68
207.84863328552498	2735.04	13320.16
208.31859799954458	2732.42	13486.72
208.78853432668134	2738.96	13686.02
209.25844226709424	2737.6	13898.8
209.72832182094223	2737.28	14090.52
210.19817298838424	2736.5	14250.92
210.66799576957928	2737.54	14378.78
211.13779016468627	2734.76	14559.12
211.60755617386417	2737.6	14725.12
212.07729379727198	2734.62	14877.74
212.5470030350686	2731.18	15062.3
213.01668388741302	2733.76	15221.44
213.4863363544642	2732.1	15429.7
213.95596043638108	2738.48	15608.58
214.42555613332266	2735.86	15786.44
214.8951234454478	2736.4	16033.48
215.36466237291557	2736.56	16238.58
215.83417291588492	2740.76	16466.64
216.30365507451472	2737.52	16688.42
216.77310884896397	2738.74	16931.8
217.24253423939172	2736.08	17166.02
217.71193124595678	2738.44	17416.4
218.1812998688182	2737.92	17684.5
218.65064010813492	2738.8	17969.82
219.1199519640659	2735.9	18260.68
219.58923543677008	2736.26	18549.72
220.05849052640644	2736.7	18836.58
220.52771723313393	2733.96	19154.16
220.99691555711152	2737.0	19519.12
221.46608549849813	2738.78	19865.34
221.93522705745278	2743.64	20225.4
222.40434023413437	2741.76	20585.9
222.8734250287019	2739.1	21012.64
223.34248144131428	2741.62	21385.1
223.81150947213052	2739.66	21819.46
224.28050912130956	2738.24	22237.04
224.74948038901036	2739.88	22734.06
225.21842327539184	2739.5	23144.72
225.68733778061303	2739.0	23558.42
226.15622390483284	2740.56	23976.44
226.62508164821026	2736.56	24394.4
227.0939110109042	2738.28	24854.24
227.56271199307366	2741.72	25354.18
228.03148459487758	2742.92	25817.16
228.5002288164749	2738.74	26339.66
228.96894465802464	2739.0	26848.1
229.4376321196857	2743.72	27368.14
229.90629120161705	2739.16	27878.86
230.37492190397768	2741.98	28327.98
230.84352422692655	2739.44	28764.12
231.31209817062256	2738.76	29231.68
231.78064373522471	2738.08	29747.18
232.24916092089194	2740.22	30207.02
232.71764972778323	2738.52	30675.92
233.18611015605757	2738.62	31127.32
233.6545422058738	2734.24	31487.56
234.122945877391	2741.6	31867.82
234.59132117076808	2740.8	32292.76
235.059668086164	2738.34	32675.52
235.52798662373772	2737.72	33001.5
235.99627678364817	2741.62	33321.8
236.4645385660544	2738.9	33592.0
236.93277197111524	2738.9	33783.52
237.40097699898976	2742.88	34012.56
237.86915364983687	2742.08	34192.82
238.33730192381555	2740.4	34431.82
238.80542182108468	2735.94	34597.68
239.27351334180332	2739.16	34770.68
239.74157648613038	2741.82	34945.52
240.20961125422477	2737.58	35066.72
240.6776176462456	2737.16	35142.08
241.14559566235164	2735.44	35225.58
241.61354530270202	2738.16	35282.26
242.08146656745555	2738.06	35328.56
242.5493594567713	2740.1	35323.12
243.01722397080817	2740.74	35306.66
243.48506010972517	2739.56	35326.22
243.95286787368119	2738.36	35290.5
244.42064726283522	2740.08	35285.22
244.88839827734623	2739.8	35275.18
245.35612091737318	2739.04	35254.8
245.823815183075	2740.24	35275.2
246.29148107461066	2738.32	35195.76
246.75911859213912	2737.88	35117.94
247.22672773581934	2743.7	35032.18
247.69430850581028	2739.86	34906.08
248.16186090227094	2739.62	34846.18
248.62938492536023	2738.34	34731.56
249.0968805752371	2741.58	34608.9
249.56434785206048	2735.08	34544.78
250.0317867559894	2738.16	34372.76
250.49919728718282	2737.24	34234.1
250.96657944579965	2741.98	34105.0
251.43393323199888	2739.68	33990.2
251.9012586459394	2737.36	33886.96
252.36855568778032	2738.78	33786.3
252.8358243576804	2737.78	33638.96
253.3030646557988	2743.02	33490.62
253.77027658229431	2740.24	33356.16
254.237460137326	2735.72	33182.7
254.70461532105276	2737.42	33026.06
255.17174213363356	2734.78	32904.1
255.63884057522742	2743.66	32774.0
256.1059106459933	2741.4	32575.3
256.57295234609	2735.62	32390.22
257.0399656756766	2741.14	32254.28
257.50695063491213	2737.22	32083.12
257.97390722395534	2739.58	31936.7
258.44083544296547	2742.82	31723.24
258.9077352921013	2738.02	31553.52
259.37460677152166	2737.82	31414.4
259.84144988138576	2741.06	31267.38
260.30826462185246	2739.14	31123.46
260.7750509930807	2741.08	30902.22
261.2418089952295	2740.98	30681.98
261.7085386284577	2741.48	30435.8
262.17523989292437	2739.48	30278.8
262.64191278878843	2737.62	29994.52
263.1085573162089	2741.34	29560.76
263.57517347534457	2736.4	29288.96
264.04176126635457	2736.98	29433.34
264.50832068939775	2739.56	29425.82
264.9748517446332	2733.38	29322.48
265.4413544322197	2737.92	29226.96
265.9078287523164	2742.06	29102.6
266.37427470508203	2737.4	28981.24
266.84069229067575	2738.02	28793.9
267.3070815092564	2741.4	28670.04
267.77344236098304	2737.14	28505.1
268.23977484601454	2737.1	28384.04
268.70607896450997	2740.02	28297.36
269.1723547166281	2739.96	28205.94
269.63860210252807	2740.16	28072.84
270.1048211223687	2736.32	27941.22
270.5710117763091	2738.74	27827.14
271.03717406450806	2740.36	27752.14
271.5033079871246	2740.14	27666.7
271.9694135443178	2741.34	27560.9
272.4354907362465	2741.86	27508.88
272.9015395630696	2740.44	27486.48
273.36756002494616	2738.16	27487.14
273.8335521220352	2741.58	27485.08
274.2995158544955	2737.76	27449.28
274.76545122248615	2738.36	27412.42
275.23135822616604	2739.54	27380.0
275.6972368656942	2740.34	27401.16
276.1630871412295	2737.02	27300.12
276.628909052931	2740.72	27200.72
277.0947026009576	2738.22	27050.8
277.5604677854682	2739.52	26872.46
278.02620460662183	2740.64	26661.54
278.4919130645775	2742.2	26439.42
278.95759315949397	2739.6	26142.6
279.4232448915305	2742.72	25930.84
279.8888682608458	2741.84	25848.36
280.35446326759893	2739.14	25709.3
280.82002991194884	2737.54	26048.94
281.2855681940544	2739.38	27080.02
281.75107811407474	2742.84	27907.8
282.2165596721688	2738.7	28089.64
282.68201286849524	2740.72	28134.02
283.14743770321337	2738.08	28259.3
283.612834176482	2744.0	28390.66
284.0782022884602	2738.56	28502.38
284.5435420393067	2739.34	28661.42
285.00885342918065	2737.22	28803.74
285.474136458241	2739.72	28852.7
285.93939112664657	2739.58	28952.78
286.4046174345565	2738.2	29052.34
286.8698153821296	2740.02	29137.08
287.33498496952495	2740.22	29253.58
287.8001261969014	2738.48	29370.42
288.26523906441804	2740.28	29482.94
288.7303235722336	2740.12	29586.14
289.1953797205073	2741.54	29659.8
289.6604075093979	2738.06	29769.54
290.1254069390645	2735.38	29845.46
290.5903780096659	2738.8	29970.02
291.0553207213613	2738.88	30054.3
291.52023507430937	2742.96	30147.72
291.98512106866934	2740.04	30206.14
292.44997870459997	2738.7	30313.56
292.9148079822603	2737.16	30409.82
293.3796089018093	2738.84	30504.6
293.84438146340597	2737.34	30589.16
294.3091256672091	2743.86	30670.18
294.7738415133777	2741.46	30731.56
295.23852900207095	2736.4	30803.02
295.70318813344755	2737.42	30848.18
296.1678189076665	2739.74	30903.3
296.6324213248868	2738.56	30929.7
297.0969953852676	2737.32	31001.9
297.56154108896754	2740.72	30987.3
298.0260584361457	2738.8	31026.4
298.49054742696103	2739.66	31107.04
298.9550080615726	2738.0	31130.06
299.4194403401392	2738.9	31162.06
299.88384426281993	2741.22	31170.1
300.34821982977365	2739.78	31140.18
300.8125670411594	2738.84	31149.14
301.276885897136	2736.02	31114.14
301.7411763978626	2738.56	31109.02
302.205438543498	2739.68	31085.9
302.6696723342012	2738.86	31074.44
303.1338777701312	2740.24	31067.2
303.598054851447	2741.42	31029.76
304.0622035783074	2740.6	30954.08
304.5263239508714	2737.44	30934.92
304.9904159692982	2734.78	30936.02
305.4544796337465	2735.88	30919.72
305.91851494437526	2736.74	30867.14
306.38252190134347	2735.84	30817.44
306.8465005048102	2739.16	30755.98
307.3104507549344	2742.0	30692.82
307.77437265187484	2741.64	30618.14
308.2382661957906	2734.96	30564.22
308.70213138684073	2742.6	30560.1
309.16596822518403	2738.4	30479.38
309.6297767109795	2745.48	30413.12
310.09355684438617	2738.02	30342.64
310.55730862556294	2736.4	30265.3
311.0210320546688	2738.54	30182.88
311.48472713186266	2737.36	30109.76
311.94839385730353	2740.06	30046.76
312.4120322311503	2737.32	29972.38
312.87564225356203	2737.72	29908.84
313.3392239246976	2738.58	29759.7
313.80277724471597	2739.2	29682.28
314.2663022137761	2736.48	29571.22
314.729798832037	2741.4	29500.6
315.19326709965765	2739.66	29403.9
315.6567070167969	2741.24	29288.26
316.1201185836137	2742.04	29198.58
316.5835018002672	2738.28	29076.7
317.0468566669162	2739.88	29020.18
317.5101831837196	2738.68	28927.92
317.97348135083644	2735.52	28854.44
318.43675116842576	2738.72	28725.68
318.89999263664646	2737.96	28595.14
319.3632057556574	2738.96	28497.1
319.8263905256176	2739.06	28418.12
320.2895469466862	2737.18	28335.32
320.7526750190219	2737.44	28220.68
321.21577474278376	2738.32	28110.46
321.6788461181307	2737.44	28044.72
322.1418891452218	2738.38	27858.46
322.6049038242158	2743.82	27747.62
323.0678901552719	2735.74	27664.74
323.5308481385489	2740.9	27564.16
323.99377777420585	2738.36	27439.04
324.45667906240163	2739.74	27348.96
324.9195520032952	2742.7	27261.84
325.3823965970456	2738.26	27206.58
325.84521284381174	2738.76	27201.42
326.3080007437526	2738.22	27108.02
326.77076029702704	2737.78	26979.76
327.23349150379414	2740.02	26886.18
327.6961943642128	2736.72	26778.96
328.15886887844204	2740.36	26703.62
328.6215150466407	2735.28	26561.7
329.0841328689678	2740.9	26455.0
329.54672234558234	2737.98	26311.6
330.0092834766433	2737.32	26253.96
330.4718162623096	2738.78	26171.1
330.9343207027401	2738.22	26163.58
331.39679679809376	2739.42	26045.76
331.8592445485298	2738.88	25890.38
332.32166395420694	2735.28	25760.36
332.78405501528414	2739.52	25682.26
333.2464177319205	2740.1	25592.62
333.7087521042748	2738.36	25515.58
334.1710581325062	2741.16	25400.08
334.63333581677347	2740.0	25306.1
335.09558515723563	2740.82	25225.74
335.5578061540517	2737.22	25137.3
336.01999880738066	2741.14	25077.42
336.48216311738133	2742.64	24977.96
336.94429908421273	2738.2	24900.24
337.4064067080338	2740.76	24782.5
337.8684859890036	2740.64	24705.9
338.33053692728106	2739.48	24587.2
338.792559523025	2743.08	24521.9
339.25455377639446	2741.6	24458.74
339.7165196875485	2739.8	24368.46
340.17845725664597	2740.06	24262.14
340.6403664838458	2743.74	24224.02
341.102247369307	2734.72	24176.72
341.5640999131886	2741.1	24118.46
342.0259241156495	2741.12	24001.7
342.48771997684855	2740.0	23843.98
342.94948749694487	2741.18	23771.34
343.41122667609733	2741.7	23654.06
343.8729375144649	2737.86	23548.7
344.3346200122066	2739.52	23456.54
344.7962741694812	2739.22	23345.74
345.2578999864479	2746.04	23257.24
345.7194974632656	2736.68	23149.16
346.1810666000931	2736.14	23047.2
346.6426073970895	2742.98	22966.46
347.10411985441374	2737.36	22804.56
347.56560397222484	2737.52	22700.52
348.0270597506816	2740.32	22632.38
348.48848718994304	2741.14	22436.72
348.94988629016814	2739.4	22201.86
349.411257051516	2737.2	22045.64
349.8725994741454	2738.02	21912.76
350.3339135582152	2736.06	21779.68
350.79519930388454	2735.56	21645.72
351.2564567113124	2737.82	21487.32
351.7176857806577	2737.88	21341.18
352.17888651207926	2735.12	21191.0
352.6400589057362	2737.12	20989.02
353.1012029617875	2739.42	20820.02
353.562318680392	2739.62	20547.76
354.0234060617087	2743.42	20330.54
354.4844651058965	2739.02	20071.9
354.9454958131145	2734.6	19832.7
355.4064981835216	2738.96	19597.38
355.8674722172767	2738.5	19394.92
356.32841791453876	2737.24	19243.34
356.7893352754668	2739.76	19105.04
357.2502243002198	2738.12	19049.08
357.71108498895666	2740.14	18996.32
358.1719173418363	2734.62	19058.48
358.6327213590178	2740.4	19221.96
359.09349704066	2753.54	19537.52
359.5542443869219	2739.46	19936.98
360.01496339796245	2738.34	20441.74
360.47565407394063	2736.26	20874.46
360.9363164150155	2738.34	21216.86
361.3969504213458	2739.72	21281.32
361.8575560930906	2739.26	21116.9
362.31813343040886	2733.54	20904.84
362.77868243345955	2740.18	20839.3
363.2392031024017	2736.5	20804.7
363.6996954373941	2740.64	20721.38
364.16015943859577	2740.98	20639.08
364.6205951061657	2738.62	20563.74
365.0810024402629	2733.94	20504.24
365.5413814410462	2736.36	20435.9
366.0017321086746	2737.44	20395.46
366.4620544433072	2740.8	20400.68
366.9223484451028	2735.14	20473.46
367.38261411422036	2741.34	20541.82
367.84285145081884	2737.86	20684.98
368.30306045505733	2740.06	20501.62
368.76324112709466	2735.1	20249.02
369.22339346708986	2737.2	20240.34
369.6835174752017	2741.28	20222.24
370.1436131515895	2734.58	19953.08
370.6036804964119	2738.96	19645.36
371.063719509828	2740.26	19575.96
371.52373019199666	2733.5	19580.86
371.98371254307693	2737.48	19586.9
372.4436665632278	2737.04	19540.96
372.9035922526082	2737.2	19506.78
373.3634896113769	2738.58	19468.54
373.8233586396931	2740.12	19513.06
374.28319933771576	2736.28	19503.24
374.7430117056037	2738.08	19559.82
375.2027957435159	2738.54	19678.1
375.66255145161136	2742.38	19870.4
376.1222788300491	2736.62	19981.36
376.58197787898797	2735.72	19872.64
377.0416485985869	2742.86	19841.84
